GEOID,District0,District1,District2
01073011004,29.0,2153.0,2670.0
01073011108,29.0,2153.0,2670.0
01073011109,29.0,2153.0,2670.0
01073011110,29.0,478.0,2670.0
01073011112,29.0,2153.0,2670.0
01073011113,29.0,2153.0,2670.0
01073011114,29.0,2153.0,2670.0
01073011115,29.0,2153.0,2670.0
01073011116,29.0,2153.0,2670.0
01073011117,29.0,2153.0,2670.0
01073011205,29.0,478.0,2670.0
01073011206,29.0,478.0,2670.0
01073011207,29.0,2153.0,2670.0
01073011208,29.0,2153.0,2670.0
01073011209,29.0,2153.0,2670.0
01073011210,29.0,478.0,2670.0
01073011301,29.0,478.0,2670.0
01073011303,29.0,478.0,2671.0
01073011304,29.0,478.0,2671.0
01073011401,29.0,478.0,2671.0
01073011402,265.0,478.0,2671.0
01073011500,265.0,478.0,2671.0
01073011600,265.0,478.0,2671.0
01073011704,265.0,478.0,2671.0
01073011706,29.0,478.0,2671.0
01073011707,265.0,478.0,2671.0
01073011708,265.0,478.0,2671.0
01073011709,265.0,478.0,2671.0
01073011710,265.0,478.0,2671.0
01073011803,29.0,2153.0,2670.0
01073011804,29.0,2153.0,2670.0
01073011805,29.0,2153.0,2670.0
01073011806,29.0,2153.0,2670.0
01073011901,265.0,478.0,2671.0
01073011904,265.0,2153.0,2671.0
01073012001,265.0,491.0,2671.0
01073012003,265.0,491.0,2671.0
01073012004,265.0,491.0,2671.0
01073012103,265.0,491.0,2671.0
01073012104,265.0,491.0,2671.0
01073012200,265.0,491.0,2671.0
01073012302,265.0,491.0,2671.0
01073012304,265.0,491.0,2671.0
01073012306,265.0,491.0,2671.0
01073012307,265.0,491.0,2671.0
01073012401,265.0,491.0,2671.0
01073012402,265.0,491.0,2671.0
01073012403,265.0,491.0,2671.0
01073012500,265.0,491.0,2671.0
01073012602,29.0,2153.0,2670.0
01073012701,29.0,2153.0,2670.0
01073012703,29.0,2153.0,2670.0
01073012704,29.0,2153.0,2670.0
01073012802,264.0,2151.0,2671.0
01073012804,264.0,2153.0,2671.0
01073012805,264.0,2151.0,2671.0
01073012905,264.0,2151.0,2671.0
01073012907,264.0,2151.0,2671.0
01073012908,264.0,2151.0,2671.0
01073012910,264.0,2151.0,2671.0
01073012911,264.0,2151.0,2671.0
01073012913,264.0,2151.0,2671.0
01073012914,264.0,2151.0,2671.0
01073012916,264.0,2151.0,2671.0
