GEOID20,District0,District1,District2,District3,District4,District5,District6,District7
360290009003009,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290010001000,5.0,22.0,43.0,66.0,107.0,125.0,144.0,168.0
360290010001001,5.0,22.0,43.0,66.0,107.0,125.0,144.0,168.0
360290010001002,5.0,22.0,43.0,66.0,107.0,125.0,144.0,168.0
360290010001003,5.0,22.0,43.0,67.0,107.0,125.0,144.0,168.0
360290010001004,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290010001005,5.0,22.0,43.0,67.0,106.0,128.0,144.0,168.0
360290010001006,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290010001007,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290010001008,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290010001009,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290010001010,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290010001011,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290010001012,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290010001013,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290010001014,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290010002000,5.0,22.0,43.0,66.0,106.0,128.0,144.0,168.0
360290010002001,5.0,22.0,47.0,66.0,106.0,128.0,144.0,168.0
360290010002002,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290010002003,5.0,22.0,43.0,66.0,106.0,128.0,144.0,168.0
360290010002004,5.0,22.0,43.0,66.0,107.0,125.0,144.0,168.0
360290010003000,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290010003001,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290010003002,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290010003003,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290010003004,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290010003005,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290010003006,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290010003007,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290010003008,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290010003009,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290010003010,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290010004000,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290010004001,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290010004002,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290010004003,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290010004004,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290010004005,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290010004006,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290010004007,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290010004008,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290010005000,6.0,22.0,43.0,66.0,107.0,125.0,144.0,168.0
360290010005001,6.0,22.0,47.0,66.0,107.0,128.0,144.0,168.0
360290010005002,5.0,22.0,47.0,66.0,107.0,128.0,144.0,168.0
360290010005003,5.0,22.0,47.0,66.0,106.0,128.0,144.0,168.0
360290010005004,5.0,22.0,47.0,66.0,106.0,128.0,144.0,168.0
360290010005005,5.0,22.0,47.0,66.0,106.0,128.0,144.0,168.0
360290010005006,5.0,22.0,47.0,66.0,106.0,128.0,144.0,168.0
360290010005007,5.0,22.0,47.0,66.0,106.0,128.0,144.0,168.0
360290010005008,5.0,22.0,47.0,66.0,106.0,128.0,144.0,168.0
360290010005009,5.0,22.0,47.0,66.0,106.0,128.0,144.0,168.0
360290010005010,5.0,22.0,47.0,66.0,107.0,128.0,144.0,168.0
360290010005011,5.0,22.0,43.0,66.0,107.0,125.0,144.0,168.0
360290011001000,6.0,22.0,43.0,66.0,107.0,125.0,144.0,168.0
360290011001001,6.0,22.0,43.0,66.0,107.0,125.0,144.0,168.0
360290011001002,6.0,22.0,43.0,66.0,107.0,125.0,144.0,168.0
360290011001003,6.0,22.0,47.0,66.0,107.0,128.0,144.0,168.0
360290011001004,6.0,22.0,47.0,66.0,107.0,128.0,144.0,168.0
360290011001005,6.0,22.0,47.0,66.0,107.0,128.0,144.0,168.0
360290011001006,6.0,22.0,47.0,66.0,107.0,128.0,144.0,168.0
360290011001007,6.0,22.0,47.0,67.0,107.0,128.0,144.0,168.0
360290011001008,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290011001009,5.0,22.0,47.0,67.0,107.0,128.0,144.0,168.0
360290011001010,5.0,22.0,47.0,66.0,107.0,128.0,144.0,168.0
360290011002000,6.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290011002001,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290011002002,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
