GEOID20,District0,District1,District2,District3,District4,District5,District6,District7,District8,District9,District10,District11,District12,District13,District14
360290005002006,0.0,33.0,81.0,96.0,139.0,148.0,167.0,203.0,231.0,251.0,273.0,277.0,304.0,322.0,335.0
360290005002007,0.0,33.0,81.0,96.0,139.0,148.0,167.0,203.0,231.0,251.0,273.0,277.0,304.0,322.0,335.0
360290005002008,0.0,33.0,81.0,96.0,139.0,148.0,167.0,203.0,231.0,251.0,273.0,277.0,304.0,322.0,335.0
360290005002009,0.0,33.0,81.0,96.0,139.0,148.0,167.0,203.0,231.0,251.0,273.0,277.0,304.0,322.0,335.0
360290005002010,0.0,33.0,81.0,96.0,139.0,148.0,167.0,203.0,231.0,236.0,273.0,277.0,304.0,322.0,335.0
360290005002011,0.0,33.0,81.0,96.0,139.0,148.0,186.0,203.0,231.0,236.0,273.0,277.0,304.0,322.0,335.0
360290005002012,0.0,33.0,81.0,96.0,139.0,148.0,167.0,203.0,231.0,251.0,273.0,277.0,304.0,322.0,335.0
360290005002013,0.0,33.0,81.0,96.0,139.0,148.0,167.0,203.0,231.0,251.0,273.0,277.0,304.0,322.0,335.0
360290005002014,0.0,33.0,81.0,96.0,139.0,148.0,186.0,203.0,231.0,236.0,274.0,277.0,304.0,322.0,335.0
360290005002015,0.0,33.0,81.0,96.0,139.0,148.0,186.0,203.0,231.0,236.0,274.0,277.0,304.0,322.0,335.0
360290005002016,0.0,33.0,81.0,96.0,139.0,148.0,186.0,203.0,231.0,236.0,274.0,277.0,304.0,322.0,335.0
360290005002017,0.0,33.0,81.0,96.0,139.0,148.0,186.0,203.0,231.0,236.0,274.0,277.0,304.0,322.0,335.0
360290005002018,0.0,33.0,81.0,96.0,139.0,148.0,186.0,203.0,231.0,236.0,274.0,277.0,304.0,322.0,335.0
360290005002019,0.0,33.0,81.0,96.0,139.0,148.0,167.0,203.0,231.0,251.0,273.0,277.0,304.0,322.0,335.0
