GEOID20,District0,District1
360290024005001,32.0,87.0
360290024005002,32.0,87.0
360290024005003,32.0,87.0
360290024005004,32.0,86.0
360290024005005,32.0,87.0
360290024005006,32.0,87.0
360290024005007,32.0,87.0
360290024005008,32.0,87.0
360290024005009,32.0,86.0
360290024005010,32.0,87.0
360290024005011,32.0,86.0
360290024005012,32.0,86.0
360290024005013,32.0,87.0
360290024005014,32.0,87.0
360290024005015,32.0,87.0
360290024005016,32.0,87.0
360290024005017,32.0,87.0
360290025021000,33.0,59.0
360290025021001,33.0,59.0
360290025021002,33.0,59.0
360290025021003,33.0,59.0
360290025021004,33.0,59.0
360290025021005,33.0,87.0
360290025021006,33.0,87.0
360290025021007,33.0,87.0
360290025021008,33.0,87.0
360290025021009,33.0,87.0
360290025021010,33.0,87.0
360290025021011,33.0,87.0
360290025021012,33.0,87.0
360290025021013,33.0,87.0
360290025021014,33.0,87.0
360290025021015,33.0,87.0
360290025021016,33.0,87.0
360290025021017,33.0,59.0
360290025021018,33.0,59.0
360290025022000,33.0,59.0
360290025022001,33.0,59.0
360290025022002,33.0,87.0
360290025022003,29.0,87.0
360290025022004,33.0,87.0
360290025022005,33.0,87.0
360290025022006,33.0,87.0
360290025022007,29.0,87.0
360290025022008,29.0,87.0
360290025022009,29.0,87.0
360290025022010,29.0,87.0
360290025022011,29.0,87.0
360290025022012,29.0,87.0
360290025023000,33.0,59.0
360290025023001,33.0,59.0
360290025023002,33.0,59.0
360290025023003,33.0,59.0
360290025023004,33.0,59.0
360290025023005,33.0,59.0
360290025023006,33.0,59.0
360290025023007,33.0,87.0
360290025023008,33.0,87.0
360290025023009,33.0,59.0
360290025023010,33.0,59.0
360290025023011,33.0,59.0
360290025023012,33.0,87.0
360290025023013,33.0,87.0
360290025023014,33.0,59.0
360290025023015,33.0,59.0
360290025023016,33.0,87.0
360290025023017,33.0,87.0
360290025023018,33.0,59.0
360290025023019,33.0,87.0
360290025023020,33.0,87.0
360290025023021,29.0,87.0
360290025023022,33.0,59.0
360290025023023,33.0,87.0
360290027031000,32.0,87.0
360290027031001,33.0,87.0
360290027031002,33.0,59.0
360290027031003,33.0,87.0
360290027031004,33.0,87.0
360290027031005,33.0,87.0
360290027031006,33.0,87.0
360290027031007,33.0,87.0
360290027031008,33.0,87.0
360290027031009,33.0,87.0
360290027031010,33.0,87.0
360290027031011,32.0,87.0
360290027031012,32.0,87.0
360290027031013,33.0,87.0
360290027031014,32.0,87.0
360290027031015,32.0,87.0
360290027031016,32.0,87.0
360290027041000,33.0,59.0
360290027041001,33.0,59.0
360290027041002,33.0,87.0
360290027041003,33.0,87.0
360290027041004,33.0,87.0
360290027041005,32.0,87.0
360290027042000,32.0,87.0
360290027042001,32.0,87.0
360290027042002,32.0,87.0
360290027042003,32.0,87.0
360290027042004,32.0,87.0
360290027042005,32.0,87.0
360290027043000,32.0,87.0
360290027043001,32.0,87.0
360290027043002,32.0,87.0
360290027043003,32.0,87.0
360290027043004,32.0,87.0
360290027043005,32.0,87.0
360290028011000,32.0,86.0
360290028011001,32.0,86.0
360290028011002,32.0,86.0
360290028011003,32.0,86.0
360290028011004,32.0,87.0
360290028011005,32.0,87.0
360290028011006,32.0,87.0
360290028011007,32.0,59.0
360290028011008,32.0,86.0
360290028011009,32.0,86.0
360290028011010,32.0,86.0
360290028012000,32.0,86.0
360290028012001,32.0,86.0
360290028012002,32.0,86.0
360290028012003,32.0,86.0
360290028012004,32.0,86.0
360290028021000,32.0,86.0
360290028021001,32.0,86.0
360290028021002,32.0,70.0
360290028021003,32.0,70.0
360290028021004,32.0,70.0
360290028021005,32.0,70.0
360290028021006,32.0,59.0
360290028021007,32.0,59.0
360290028021008,32.0,59.0
360290028021009,32.0,59.0
360290028021010,32.0,59.0
360290028021011,32.0,59.0
360290028021012,33.0,59.0
360290028021013,33.0,59.0
360290028021014,32.0,59.0
360290028021015,32.0,59.0
360290028021016,32.0,70.0
360290028021017,32.0,86.0
360290028021018,32.0,86.0
360290028021019,32.0,86.0
360290029001000,32.0,86.0
360290029001001,32.0,70.0
360290029001002,32.0,70.0
360290029001003,32.0,70.0
360290029001004,32.0,70.0
360290029001005,32.0,86.0
360290029002000,32.0,70.0
360290029002001,32.0,70.0
360290029002002,32.0,70.0
360290029002003,32.0,70.0
360290029002004,32.0,70.0
360290029002005,32.0,70.0
360290029002006,32.0,70.0
360290029003000,32.0,59.0
360290029003001,32.0,59.0
360290029003002,32.0,59.0
360290029003003,32.0,59.0
360290029003004,32.0,59.0
360290029003005,32.0,59.0
360290029004000,32.0,59.0
360290029004001,32.0,59.0
360290029004002,32.0,59.0
360290029004003,32.0,59.0
360290029004004,33.0,59.0
360290029004005,33.0,59.0
360290029004006,32.0,59.0
360290030001000,32.0,86.0
360290030001001,32.0,86.0
360290030001002,32.0,86.0
360290030001003,32.0,86.0
360290030001004,32.0,86.0
360290030001005,32.0,86.0
360290030002000,32.0,86.0
360290030002001,32.0,86.0
360290030002002,32.0,86.0
360290030002003,32.0,86.0
360290030002004,32.0,86.0
360290030002005,32.0,86.0
360290030002006,32.0,86.0
360290030002007,32.0,86.0
360290030002008,32.0,86.0
360290030002009,32.0,86.0
360290030002010,32.0,86.0
360290030002011,32.0,86.0
360290030002012,32.0,86.0
360290030002013,32.0,86.0
360290030003000,32.0,86.0
360290030003001,32.0,86.0
360290030003002,32.0,86.0
360290030003003,32.0,86.0
360290030003004,32.0,86.0
360290031001000,33.0,59.0
360290031001001,33.0,59.0
360290031001002,33.0,59.0
360290031001003,33.0,59.0
360290031001004,33.0,59.0
360290031001005,33.0,59.0
360290031001006,33.0,59.0
360290031001007,33.0,59.0
360290031001008,33.0,59.0
360290031001009,33.0,59.0
360290031001010,33.0,59.0
360290031001011,33.0,59.0
360290031001012,33.0,59.0
360290031001013,33.0,59.0
360290031001014,33.0,59.0
360290031001015,33.0,59.0
360290031001016,33.0,59.0
360290031001017,33.0,59.0
360290031001018,33.0,59.0
360290031001019,33.0,59.0
360290031001020,33.0,59.0
360290031002000,33.0,59.0
360290031002001,33.0,59.0
360290031002002,33.0,59.0
360290031002003,33.0,59.0
360290031002004,33.0,59.0
360290031002005,33.0,59.0
360290031002006,33.0,59.0
360290031002007,33.0,59.0
360290031002008,33.0,59.0
360290031002009,33.0,59.0
360290031002010,33.0,59.0
360290031002011,33.0,59.0
360290031002012,33.0,59.0
360290031002013,33.0,59.0
360290031002014,33.0,59.0
360290031002015,33.0,59.0
360290031002016,33.0,59.0
360290031002017,33.0,59.0
360290031002018,33.0,59.0
360290031003000,33.0,59.0
360290031003001,33.0,59.0
360290031003002,33.0,59.0
360290031003003,33.0,59.0
360290031003004,33.0,59.0
360290031003005,33.0,59.0
360290031003006,33.0,59.0
